trade_date,open,high,low,close,vol,oi,contract_ts_code,roll_flag
2019-01-02,287.55,288.7,287.15,288.3,91402,254696,AU1906.SHF,0
2019-01-03,288.45,290.75,287.9,290.7,198374,264896,AU1906.SHF,0
2019-01-04,289.95,291.6,289.35,290.55,217562,265072,AU1906.SHF,0
2019-01-07,290.0,290.15,286.9,288.65,280434,259102,AU1906.SHF,0
2019-01-08,289.0,289.7,286.9,287.25,193804,262000,AU1906.SHF,0
2019-01-09,286.95,287.65,285.85,286.2,184668,264048,AU1906.SHF,0
2019-01-10,285.7,287.85,285.6,286.9,223516,275262,AU1906.SHF,0
2019-01-11,286.35,286.45,284.55,284.95,204814,279370,AU1906.SHF,0
2019-01-14,284.95,285.45,283.8,285.05,171396,284726,AU1906.SHF,0
2019-01-15,285.65,285.95,284.15,284.3,168666,286962,AU1906.SHF,0
2019-01-16,284.75,285.5,284.25,284.6,159836,297494,AU1906.SHF,0
2019-01-17,284.3,285.25,284.2,285.1,120016,304476,AU1906.SHF,0
2019-01-18,285.55,285.65,284.7,285.05,147008,309930,AU1906.SHF,0
2019-01-21,284.15,284.2,282.7,283.2,193586,308690,AU1906.SHF,0
2019-01-22,282.55,283.45,282.3,283.25,124106,306182,AU1906.SHF,0
2019-01-23,283.9,284.65,283.3,283.6,138716,306032,AU1906.SHF,0
2019-01-24,283.9,284.1,282.9,283.3,137742,303132,AU1906.SHF,0
2019-01-25,283.0,283.85,282.65,282.9,142372,304550,AU1906.SHF,0
2019-01-28,283.05,285.95,282.75,285.6,223994,312142,AU1906.SHF,0
2019-01-29,285.45,286.75,285.0,286.6,164764,305716,AU1906.SHF,0
2019-01-30,287.25,287.95,286.7,287.55,207730,310816,AU1906.SHF,0
2019-01-31,287.0,288.0,286.35,287.85,153858,297038,AU1906.SHF,0
2019-02-01,288.4,289.3,287.8,289.2,150578,292324,AU1906.SHF,0
2019-02-11,288.6,289.2,288.15,288.75,87420,296758,AU1906.SHF,0
2019-02-12,288.15,289.15,287.85,288.85,130022,300710,AU1906.SHF,0
2019-02-13,289.0,289.3,287.9,288.25,121432,302158,AU1906.SHF,0
2019-02-14,287.85,289.75,287.5,287.6,171608,304386,AU1906.SHF,0
2019-02-15,287.05,289.7,287.05,289.6,188342,315622,AU1906.SHF,0
2019-02-18,289.8,291.2,289.2,290.95,182550,328372,AU1906.SHF,0
2019-02-19,291.5,292.1,291.1,291.35,106198,329976,AU1906.SHF,0
2019-02-20,292.6,294.25,292.5,293.35,187480,335852,AU1906.SHF,0
2019-02-21,293.5,293.95,291.4,291.5,163306,333688,AU1906.SHF,0
2019-02-22,291.25,291.9,289.35,289.6,160092,325464,AU1906.SHF,0
2019-02-25,289.05,290.75,288.65,289.3,179152,320880,AU1906.SHF,0
2019-02-26,289.1,289.55,287.95,289.0,152828,319390,AU1906.SHF,0
2019-02-27,288.2,289.2,288.1,288.65,119290,315712,AU1906.SHF,0
2019-02-28,288.15,288.85,285.9,286.85,173762,310530,AU1906.SHF,0
2019-03-01,287.7,288.0,285.55,285.85,179312,308794,AU1906.SHF,0
