trade_date,open,high,low,close,vol,oi,contract_ts_code,roll_flag
2010-01-04,1878,1900,1875,1892,176352,217210,C1009.DCE,0
2010-01-05,1893,1904,1889,1891,103552,226796,C1009.DCE,0
2010-01-06,1895,1918,1890,1908,160396,241304,C1009.DCE,0
2010-01-07,1910,1921,1881,1898,162554,228008,C1009.DCE,0
2010-01-08,1898,1927,1895,1925,605112,298488,C1009.DCE,0
2010-01-11,1932,1936,1918,1921,242470,305364,C1009.DCE,0
2010-01-12,1915,1922,1905,1908,195492,288226,C1009.DCE,0
2010-01-13,1885,1896,1879,1887,217122,230980,C1009.DCE,0
2010-01-14,1898,1903,1892,1896,108336,225416,C1009.DCE,0
2010-01-15,1894,1897,1890,1891,78334,223028,C1009.DCE,0
2010-01-18,1888,1897,1888,1896,65240,227506,C1009.DCE,0
2010-01-19,1898,1903,1894,1896,56094,231082,C1009.DCE,0
2010-01-20,1896,1898,1888,1890,52456,224912,C1009.DCE,0
2010-01-21,1891,1896,1888,1895,77808,234780,C1009.DCE,0
2010-01-22,1893,1894,1868,1877,170874,201914,C1009.DCE,0
2010-01-25,1880,1880,1866,1867,89270,216812,C1009.DCE,0
2010-01-26,1867,1869,1859,1859,73696,209614,C1009.DCE,0
2010-01-27,1860,1865,1855,1861,76426,210744,C1009.DCE,0
2010-01-28,1852,1857,1843,1844,95098,215290,C1009.DCE,0
2010-01-29,1847,1855,1843,1854,76920,200514,C1009.DCE,0
2010-02-01,1851,1854,1845,1847,72182,177486,C1009.DCE,0
2010-02-02,1850,1853,1841,1846,70578,171738,C1009.DCE,0
2010-02-03,1920,1920,1851,1862,111026,195460,C1009.DCE,0
2010-02-04,1853,1853,1846,1848,62294,178300,C1009.DCE,0
2010-02-05,1846,1851,1843,1850,38272,174544,C1009.DCE,0
2010-02-08,1850,1854,1849,1850,30136,167882,C1009.DCE,0
2010-02-09,1851,1852,1845,1849,38996,164726,C1009.DCE,0
2010-02-10,1850,1860,1846,1858,54188,158292,C1009.DCE,0
2010-02-11,1860,1861,1854,1855,28806,160042,C1009.DCE,0
2010-02-12,1859,1859,1855,1858,18804,153590,C1009.DCE,0
2010-02-22,1866,1868,1860,1865,32018,156628,C1009.DCE,0
2010-02-23,1865,1878,1864,1877,82660,178464,C1009.DCE,0
2010-02-24,1872,1877,1872,1874,35126,181860,C1009.DCE,0
2010-02-25,1876,1878,1870,1871,35520,177818,C1009.DCE,0
2010-02-26,1873,1875,1866,1866,48962,165506,C1009.DCE,0
2010-03-01,1871,1883,1870,1878,60686,173926,C1009.DCE,0
2010-03-02,1875,1878,1870,1872,38314,169072,C1009.DCE,0
2010-03-03,1873,1876,1870,1871,26438,168620,C1009.DCE,0
2010-03-04,1872,1873,1863,1863,46220,157052,C1009.DCE,0
2010-03-05,1860,1863,1856,1862,33828,157642,C1009.DCE,0
2010-03-08,1862,1870,1861,1869,28326,152058,C1009.DCE,0
2010-03-09,1868,1873,1866,1870,28340,151334,C1009.DCE,0
2010-03-10,1869,1874,1866,1872,33464,159046,C1009.DCE,0
2010-03-11,1872,1875,1869,1873,35710,163326,C1009.DCE,0
2010-03-12,1872,1879,1871,1879,45376,171280,C1009.DCE,0
2010-03-15,1880,1895,1878,1893,91162,188652,C1009.DCE,0
2010-03-16,1894,1899,1889,1897,55364,194358,C1009.DCE,0
2010-03-17,1902,1903,1895,1899,44064,199488,C1009.DCE,0
2010-03-18,1900,1901,1891,1894,34180,193000,C1009.DCE,0
2010-03-19,1895,1909,1894,1907,57882,203088,C1009.DCE,0
2010-03-22,1908,1916,1905,1912,49638,208344,C1009.DCE,0
2010-03-23,1914,1918,1908,1909,52330,203950,C1009.DCE,0
2010-03-24,1908,1910,1903,1904,38300,199832,C1009.DCE,0
2010-03-25,1907,1916,1905,1912,37068,202224,C1009.DCE,0
2010-03-26,1910,1919,1907,1917,56784,207424,C1009.DCE,0
2010-03-29,1919,1941,1919,1939,104476,218556,C1009.DCE,0
2010-03-30,1939,1941,1931,1931,102398,224348,C1009.DCE,0
2010-03-31,1933,1936,1925,1928,104056,216612,C1009.DCE,0
2010-04-01,1925,1937,1925,1932,73748,222510,C1009.DCE,0
2010-04-02,1933,1935,1927,1934,44346,216288,C1009.DCE,0
2010-04-06,1935,1946,1933,1938,77224,223954,C1009.DCE,0
2010-04-07,1939,1939,1928,1932,107636,224396,C1009.DCE,0
2010-04-08,1932,1933,1901,1907,274018,219312,C1009.DCE,0
