trade_date,open,high,low,close,vol,oi,contract_ts_code,roll_flag
2019-01-02,47980,48170,47670,47680,112020,142204,CU1902.SHF,0
2019-01-03,47180,47460,46960,47310,225040,183262,CU1903.SHF,1
2019-01-04,47200,47370,46210,47140,348086,201274,CU1903.SHF,0
2019-01-07,47140,47680,46810,47430,301244,195338,CU1903.SHF,0
2019-01-08,47380,47510,47230,47340,167112,190932,CU1903.SHF,0
2019-01-09,47420,47820,47260,47680,233952,182080,CU1903.SHF,0
2019-01-10,47730,47740,47380,47510,185460,182636,CU1903.SHF,0
2019-01-11,47340,47350,46970,47320,224400,193152,CU1903.SHF,0
2019-01-14,47150,47270,46730,46890,233818,211898,CU1903.SHF,0
2019-01-15,46830,47080,46690,47000,172170,207730,CU1903.SHF,0
2019-01-16,46920,47430,46890,47380,225524,208056,CU1903.SHF,0
2019-01-17,47340,47490,47220,47380,158182,204508,CU1903.SHF,0
2019-01-18,47350,47930,47230,47860,213558,198828,CU1903.SHF,0
2019-01-21,47930,48300,47690,47800,223964,194574,CU1903.SHF,0
2019-01-22,47660,47850,47500,47530,129522,191478,CU1903.SHF,0
2019-01-23,47610,47690,47320,47540,118250,192730,CU1903.SHF,0
2019-01-24,47430,47610,47260,47320,133490,191876,CU1903.SHF,0
2019-01-25,47260,47490,47090,47380,146234,190720,CU1903.SHF,0
2019-01-28,47210,47950,47140,47540,215208,180062,CU1903.SHF,0
2019-01-29,47620,47670,47350,47580,121536,177368,CU1903.SHF,0
2019-01-30,47610,47920,47600,47700,135976,178878,CU1903.SHF,0
2019-01-31,47830,48220,47770,48090,164962,172048,CU1903.SHF,0
2019-02-01,48210,48360,47970,48270,113982,166284,CU1903.SHF,0
2019-02-11,48600,48600,48170,48190,91592,167466,CU1903.SHF,0
2019-02-12,48310,48450,48060,48110,106656,166960,CU1903.SHF,0
2019-02-13,48000,48150,47830,48120,96160,166814,CU1903.SHF,0
2019-02-14,48010,48390,48000,48340,77688,165328,CU1903.SHF,0
2019-02-15,48640,48650,48150,48200,130306,184008,CU1904.SHF,1
2019-02-18,48500,49260,48440,49230,221478,222040,CU1904.SHF,0
2019-02-19,49290,49480,49160,49360,170316,232708,CU1904.SHF,0
2019-02-20,49280,49790,49230,49710,196492,240388,CU1904.SHF,0
2019-02-21,49690,50040,49530,49670,220484,248714,CU1904.SHF,0
2019-02-22,49750,49920,49550,49920,169764,250936,CU1904.SHF,0
2019-02-25,50310,50620,50100,50520,275480,257880,CU1904.SHF,0
2019-02-26,50370,50410,49970,50190,229798,251196,CU1904.SHF,0
2019-02-27,50160,50280,49970,50080,182712,241558,CU1904.SHF,0
2019-02-28,50220,50440,50110,50160,172546,232392,CU1904.SHF,0
2019-03-01,50260,50560,50100,50500,163088,224932,CU1904.SHF,0
2019-03-04,50530,50810,49980,50010,196842,217350,CU1904.SHF,0
2019-03-05,49680,50230,49610,49880,260694,194702,CU1904.SHF,0
2019-03-06,49620,49670,49340,49400,132836,235600,CU1905.SHF,1
2019-03-07,49450,49650,49110,49210,174430,228928,CU1905.SHF,0
2019-03-08,49220,49300,48990,49040,152736,231054,CU1905.SHF,0
2019-03-11,48820,49220,48810,49190,140418,234632,CU1905.SHF,0
2019-03-12,49170,49490,49010,49450,155542,242998,CU1905.SHF,0
2019-03-13,49630,49720,49220,49340,165036,234442,CU1905.SHF,0
2019-03-14,49440,49440,49060,49110,149960,238354,CU1905.SHF,0
2019-03-15,48870,49410,48670,49320,326806,235392,CU1905.SHF,0
2019-03-18,49120,49460,48950,49350,190904,227840,CU1905.SHF,0
2019-03-19,49390,49430,49130,49330,132344,229810,CU1905.SHF,0
2019-03-20,49390,49500,49160,49190,111362,229844,CU1905.SHF,0
2019-03-21,49190,49480,49120,49420,141296,237030,CU1905.SHF,0
2019-03-22,49270,49310,48920,48940,163772,231162,CU1905.SHF,0
2019-03-25,48580,48740,48100,48120,229440,230270,CU1905.SHF,0
2019-03-26,48210,48380,48140,48230,133948,220808,CU1905.SHF,0
