trade_date,value
2019-01-02,3399.4015
2019-01-03,3387.1327
2019-01-04,3470.2829
2019-01-07,3515.1686
2019-01-08,3508.5228
2019-01-09,3531.769
2019-01-10,3524.8784
2019-01-11,3551.3318
2019-01-14,3526.0851
2019-01-15,3581.5023
2019-01-16,3578.3367
2019-01-17,3552.9154
2019-01-18,3598.429
2019-01-21,3618.4726
2019-01-22,3573.4685
2019-01-23,3575.2888
2019-01-24,3594.0818
2019-01-25,3598.6022
2019-01-28,3587.4503
2019-01-29,3565.3808
2019-01-30,3527.5933
2019-01-31,3523.6188
2019-02-01,3596.0221
2019-02-11,3676.8847
2019-02-12,3712.6271
2019-02-13,3782.0055
2019-02-14,3793.4962
2019-02-15,3752.4651
2019-02-18,3877.1867
2019-02-19,3880.0907
2019-02-20,3890.4756
2019-02-21,3880.6117
2019-02-22,3968.8796
2019-02-25,4190.9416
2019-02-26,4163.0341
2019-02-27,4153.4927
2019-02-28,4153.511
2019-03-01,4215.7026
2019-03-04,4283.1606
2019-03-05,4355.3339
2019-03-06,4418.6128
2019-03-07,4429.1006
2019-03-08,4249.7323
2019-03-11,4378.6061
2019-03-12,4439.9474
2019-03-13,4371.1871
2019-03-14,4293.6034
2019-03-15,4351.4316
2019-03-18,4466.5464
2019-03-19,4465.179
2019-03-20,4463.5506
2019-03-21,4491.1383
2019-03-22,4499.5413
2019-03-25,4424.2887
2019-03-26,4338.5646
2019-03-27,4379.4898
2019-03-28,4340.1599
2019-03-29,4487.7157
2019-04-01,4630.3682
2019-04-02,4640.3117
2019-04-03,4693.0868
2019-04-04,4727.6658
2019-04-08,4715.0828
2019-04-09,4732.1195
2019-04-10,4735.9196
2019-04-11,4639.4026
2019-04-12,4632.0095
2019-04-15,4603.3171
2019-04-16,4713.1506
2019-04-17,4733.7199
2019-04-18,4711.3226
2019-04-19,4756.5415
2019-04-22,4674.1452
2019-04-23,4630.5811
2019-04-24,4661.452
2019-04-25,4518.3578
2019-04-26,4460.6782
2019-04-29,4393.831
2019-04-30,4422.4888
2019-05-06,4127.6469
2019-05-07,4175.3955
2019-05-08,4135.5531
2019-05-09,4076.6312
2019-05-10,4226.0236
2019-05-13,4173.6024
2019-05-14,4144.9588
2019-05-15,4238.4613
2019-05-16,4261.6826
2019-05-17,4134.6304
2019-05-20,4108.3489
2019-05-21,4173.0768
2019-05-22,4152.6457
