trade_date,value
2014-12-15,3.68
2014-12-16,5.0
2014-12-17,4.03
2014-12-18,5.61
2014-12-19,6.1
2014-12-22,6.5
2014-12-23,3.8
2014-12-24,5.06
2014-12-25,4.5
2014-12-26,4.2
2014-12-29,4.64
2014-12-30,4.75
2014-12-31,5.07
2015-01-04,4.9275
2015-01-05,4.33
2015-01-06,3.93
2015-01-07,3.86
2015-01-08,3.74
2015-01-09,3.7553
2015-01-12,3.81
2015-01-13,3.85
2015-01-14,3.85
2015-01-15,3.2
2015-01-16,3.88
2015-01-19,4.0
2015-01-20,5.0
2015-01-21,3.5
2015-01-22,4.38
2015-01-23,3.91
2015-01-26,3.89
2015-01-27,4.3
2015-01-28,3.9
2015-01-29,4.16
2015-01-30,2.84
2015-02-02,4.4
2015-02-03,4.9
2015-02-04,4.6
2015-02-05,4.44
2015-02-06,4.38
2015-02-09,4.4
2015-02-10,4.4
2015-02-11,4.61
2015-02-12,5.0
2015-02-13,4.91
2015-02-15,4.72
2015-02-16,4.95
2015-02-17,4.83
2015-02-25,5.07
2015-02-26,4.73
2015-02-27,5.2
2015-02-28,5.04
2015-03-02,4.82
2015-03-03,4.2
2015-03-04,4.75
2015-03-05,4.79
2015-03-06,4.6
2015-03-09,4.85
2015-03-10,4.75
2015-03-11,4.95
2015-03-12,4.76
2015-03-13,4.72
2015-03-16,4.61
2015-03-17,4.64
2015-03-18,4.59
2015-03-19,4.41
2015-03-20,4.32
2015-03-23,3.5
2015-03-24,3.99
2015-03-25,3.94
2015-03-26,4.3
2015-03-27,4.08
2015-03-30,4.2
2015-03-31,3.82
2015-04-01,3.76
2015-04-02,3.61
2015-04-03,3.43
2015-04-07,3.34
2015-04-08,3.2
2015-04-09,3.0
2015-04-10,2.91
2015-04-13,3.28
2015-04-14,2.9
2015-04-15,2.99
2015-04-16,2.98
2015-04-17,2.92
2015-04-20,2.79
2015-04-21,2.64
2015-04-22,2.6
2015-04-23,2.54
2015-04-24,2.47
2015-04-27,2.4
2015-04-28,2.48
2015-04-29,2.43
2015-04-30,1.61
2015-05-04,2.44
2015-05-05,2.47
2015-05-06,2.8
2015-05-07,2.4
2015-05-08,2.28
2015-05-11,2.2
2015-05-12,2.14
2015-05-13,2.09
2015-05-14,2.4
2015-05-15,1.9
2015-05-18,1.91
2015-05-19,1.97
2015-05-20,2.0
2015-05-21,2.02
2015-05-22,1.95
2015-05-25,2.2
2015-05-26,2.2
2015-05-27,1.95
2015-05-28,2.1
2015-05-29,1.94
2015-06-01,2.01
2015-06-02,2.3
2015-06-03,2.25
2015-06-04,2.16
2015-06-05,2.15
2015-06-08,2.06
2015-06-09,2.05
2015-06-10,2.05
2015-06-11,2.14
2015-06-12,2.1
2015-06-15,2.17
2015-06-16,2.85
2015-06-17,2.46
2015-06-18,3.5
2015-06-19,2.86
2015-06-23,2.8
2015-06-24,3.1
2015-06-25,3.11
2015-06-26,1.5
2015-06-29,2.84
2015-06-30,3.3
2015-07-01,2.8
2015-07-02,2.9
2015-07-03,2.94
2015-07-06,2.61
2015-07-07,2.6
2015-07-08,2.57
2015-07-09,2.56
2015-07-10,2.55
2015-07-13,2.53
2015-07-14,2.65
2015-07-15,2.46
2015-07-16,2.33
2015-07-17,2.4
2015-07-20,2.8
2015-07-21,2.44
2015-07-22,2.53
2015-07-23,2.6
2015-07-24,2.52
2015-07-27,2.0
2015-07-28,1.8
2015-07-29,2.46
2015-07-30,2.47
2015-07-31,2.48
2015-08-03,2.47
2015-08-04,2.43
2015-08-05,2.3
2015-08-06,2.3
2015-08-07,2.44
2015-08-10,2.0
2015-08-11,2.4
2015-08-12,2.44
2015-08-13,2.48
2015-08-14,1.65
2015-08-17,2.6
2015-08-18,2.52
2015-08-19,2.7
2015-08-20,2.2
2015-08-21,2.55
2015-08-24,2.85
2015-08-25,2.56
2015-08-26,2.3
2015-08-27,2.37
2015-08-28,2.4
2015-08-31,2.7
2015-09-01,2.43
2015-09-02,2.46
2015-09-06,2.38
2015-09-07,2.2
2015-09-08,2.44
2015-09-09,2.4
2015-09-10,2.3
2015-09-11,2.38
2015-09-14,2.38
2015-09-15,2.5
2015-09-16,2.41
2015-09-17,2.4
2015-09-18,2.42
2015-09-21,2.25
2015-09-22,2.4
2015-09-23,2.38
2015-09-24,3.2
2015-09-25,2.37
2015-09-28,2.13
2015-09-29,2.4
2015-09-30,2.39
2015-10-08,1.95
2015-10-09,2.49
2015-10-10,2.36
2015-10-12,2.42
2015-10-13,2.25
2015-10-14,2.5
2015-10-15,2.45
2015-10-16,2.43
2015-10-19,2.43
2015-10-20,2.43
2015-10-21,2.1
2015-10-22,2.38
2015-10-23,2.45
2015-10-26,2.36
2015-10-27,2.27
2015-10-28,2.34
2015-10-29,2.4
2015-10-30,2.36
2015-11-02,2.3
2015-11-03,2.44
2015-11-04,2.38
2015-11-05,2.3
2015-11-06,2.35
2015-11-09,2.33
2015-11-10,2.36
2015-11-11,2.27
2015-11-12,2.35
2015-11-13,2.34
2015-11-16,2.35
2015-11-17,2.36
2015-11-18,2.3
2015-11-19,2.3
2015-11-20,2.32
2015-11-23,2.33
2015-11-24,2.33
2015-11-25,2.45
2015-11-26,2.42
2015-11-27,1.8
2015-11-30,2.6
2015-12-01,2.44
2015-12-02,2.1
2015-12-03,2.37
2015-12-04,2.32
2015-12-07,2.55
2015-12-08,2.39
2015-12-09,2.28
2015-12-10,2.46
2015-12-11,2.4
2015-12-14,2.43
2015-12-15,1.9
2015-12-16,2.42
2015-12-17,2.5
2015-12-18,2.45
2015-12-21,2.39
2015-12-22,2.46
2015-12-23,2.41
2015-12-24,2.35
2015-12-25,2.3
2015-12-28,2.58
2015-12-29,2.42
2015-12-30,2.62
2015-12-31,2.8
2016-01-04,2.5
2016-01-05,2.32
2016-01-06,2.1
2016-01-07,2.43
2016-01-08,2.31
2016-01-09,2.31
2016-01-11,2.41
2016-01-12,2.39
2016-01-13,2.24
2016-01-14,2.35
2016-01-15,2.6
2016-01-18,3.8
2016-01-19,2.7
2016-01-20,3.2
2016-01-21,2.48
2016-01-22,2.62
2016-01-23,2.62
2016-01-25,2.25
2016-01-26,2.36
2016-01-27,2.08
2016-01-28,2.2
2016-01-29,2.3
2016-02-01,2.45
2016-02-02,2.49
2016-02-03,2.5
2016-02-04,2.51
2016-02-05,2.37
2016-02-06,2.28
2016-02-07,2.28
2016-02-14,2.1
2016-02-15,2.15
2016-02-16,2.44
2016-02-17,2.3791
2016-02-18,2.15
2016-02-19,2.22
2016-02-20,2.22
2016-02-22,2.27
2016-02-23,2.25
2016-02-24,2.4
2016-02-25,2.47
2016-02-26,2.4
2016-02-29,2.3
2016-03-01,2.42
2016-03-02,2.25
2016-03-03,2.25
2016-03-04,2.25
2016-03-05,2.25
2016-03-07,2.25
2016-03-08,2.24
2016-03-09,2.0
2016-03-10,2.23
2016-03-11,2.22
2016-03-14,2.25
2016-03-15,2.25
2016-03-16,2.39
2016-03-17,2.5
2016-03-18,2.51
2016-03-21,2.59
2016-03-22,2.5
2016-03-23,2.41
2016-03-24,2.45
2016-03-25,2.44
2016-03-28,2.7
2016-03-29,2.7
2016-03-30,2.9
2016-03-31,2.9
2016-04-01,2.32
2016-04-05,2.4
2016-04-06,2.25
2016-04-07,2.25
2016-04-08,2.0
2016-04-09,2.0
2016-04-11,2.28
2016-04-12,2.43
2016-04-13,2.4
2016-04-14,2.3
2016-04-15,2.3
2016-04-18,2.32
2016-04-19,2.14
2016-04-20,2.42
2016-04-21,2.55
