trade_date,value
2019-01-02,3.285
2019-01-03,3.246
2019-01-04,3.215
2019-01-07,3.141
2019-01-08,3.093
2019-01-09,3.065
2019-01-10,3.031
2019-01-11,3.007
2019-01-14,2.984
2019-01-15,2.962
2019-01-16,2.942
2019-01-17,2.93
2019-01-18,2.918
2019-01-21,2.915
2019-01-22,2.914
2019-01-23,2.909
2019-01-24,2.904
2019-01-25,2.902
2019-01-28,2.901
2019-01-29,2.9
2019-01-30,2.901
2019-01-31,2.9
2019-02-01,2.9
2019-02-11,2.898
2019-02-12,2.872
2019-02-13,2.852
2019-02-14,2.83
2019-02-15,2.802
2019-02-18,2.797
2019-02-19,2.778
2019-02-20,2.759
2019-02-21,2.749
2019-02-22,2.749
2019-02-25,2.752
2019-02-26,2.756
2019-02-27,2.756
2019-02-28,2.751
2019-03-01,2.75
2019-03-04,2.75
2019-03-05,2.75
2019-03-06,2.75
2019-03-07,2.751
2019-03-08,2.755
2019-03-11,2.7565
2019-03-12,2.761
2019-03-13,2.768
2019-03-14,2.777
2019-03-15,2.799
2019-03-18,2.814
2019-03-19,2.823
2019-03-20,2.833
2019-03-21,2.838
2019-03-22,2.837
2019-03-25,2.836
2019-03-26,2.828
2019-03-27,2.819
2019-03-28,2.807
2019-03-29,2.801
2019-04-01,2.795
2019-04-02,2.786
2019-04-03,2.767
2019-04-04,2.758
2019-04-08,2.754
2019-04-09,2.751
2019-04-10,2.755
2019-04-11,2.76
2019-04-12,2.761
2019-04-15,2.768
2019-04-16,2.774
2019-04-17,2.787
2019-04-18,2.806
2019-04-19,2.817
2019-04-22,2.822
2019-04-23,2.833
2019-04-24,2.855
2019-04-25,2.88
2019-04-26,2.896
2019-04-29,2.923
2019-04-30,2.93
2019-05-06,2.934
2019-05-07,2.922
2019-05-08,2.91
2019-05-09,2.903
2019-05-10,2.895
2019-05-13,2.889
2019-05-14,2.891
2019-05-15,2.893
2019-05-16,2.896
2019-05-17,2.9
2019-05-20,2.9
2019-05-21,2.9
2019-05-22,2.903
2019-05-23,2.901
2019-05-24,2.902
2019-05-27,2.904
2019-05-28,2.915
2019-05-29,2.917
2019-05-30,2.916
2019-05-31,2.912
2019-06-03,2.904
2019-06-04,2.902
2019-06-05,2.916
2019-06-06,2.924
2019-06-10,2.932
2019-06-11,2.94
2019-06-12,2.943
2019-06-13,2.944
2019-06-14,2.947
2019-06-17,2.947
2019-06-18,2.943
2019-06-19,2.929
2019-06-20,2.911
2019-06-21,2.895
2019-06-24,2.859
2019-06-25,2.809
2019-06-26,2.758
2019-06-27,2.722
2019-06-28,2.708
2019-07-01,2.681
2019-07-02,2.657
2019-07-03,2.641
2019-07-04,2.627
2019-07-05,2.606
2019-07-08,2.603
2019-07-09,2.601
2019-07-10,2.6
2019-07-11,2.6
2019-07-12,2.6
2019-07-15,2.6
2019-07-16,2.609
2019-07-17,2.613
2019-07-18,2.623
2019-07-19,2.631
2019-07-22,2.628
2019-07-23,2.628
2019-07-24,2.625
2019-07-25,2.625
2019-07-26,2.629
2019-07-29,2.631
2019-07-30,2.636
2019-07-31,2.644
2019-08-01,2.646
2019-08-02,2.649
2019-08-05,2.646
2019-08-06,2.635
2019-08-07,2.623
2019-08-08,2.618
2019-08-09,2.618
2019-08-12,2.625
2019-08-13,2.644
2019-08-14,2.656
2019-08-15,2.661
2019-08-16,2.666
2019-08-19,2.669
2019-08-20,2.671
2019-08-21,2.674
2019-08-22,2.682
2019-08-23,2.69
2019-08-26,2.694
2019-08-27,2.7
2019-08-28,2.702
2019-08-29,2.7002
2019-08-30,2.701
2019-09-02,2.7
2019-09-03,2.701
2019-09-04,2.702
2019-09-05,2.704
2019-09-06,2.708
2019-09-09,2.707
2019-09-10,2.707
2019-09-11,2.707
2019-09-12,2.709
2019-09-16,2.71
2019-09-17,2.708
2019-09-18,2.706
2019-09-19,2.709
2019-09-20,2.717
2019-09-23,2.725
2019-09-24,2.729
2019-09-25,2.729
2019-09-26,2.732
2019-09-27,2.726
2019-09-30,2.728
2019-10-08,2.724
2019-10-09,2.72
2019-10-10,2.718
2019-10-11,2.718
2019-10-14,2.722
2019-10-15,2.731
2019-10-16,2.732
2019-10-17,2.736
2019-10-18,2.746
2019-10-21,2.763
2019-10-22,2.793
2019-10-23,2.808
2019-10-24,2.824
2019-10-25,2.831
2019-10-28,2.84
2019-10-29,2.847
2019-10-30,2.864
2019-10-31,2.887
2019-11-01,2.897
2019-11-04,2.919
2019-11-05,2.933
2019-11-06,2.948
2019-11-07,2.953
2019-11-08,2.953
2019-11-11,2.955
2019-11-12,2.965
2019-11-13,2.981
2019-11-14,3.0
2019-11-15,3.02
2019-11-18,3.032
2019-11-19,3.033
2019-11-20,3.032
2019-11-21,3.034
2019-11-22,3.037
2019-11-25,3.029
2019-11-26,3.02
2019-11-27,3.019
2019-11-28,3.016
2019-11-29,3.017
2019-12-02,3.017
2019-12-03,3.015
2019-12-04,3.019
2019-12-05,3.022
2019-12-06,3.0245
2019-12-09,3.025
2019-12-10,3.028
2019-12-11,3.03
2019-12-12,3.0305
2019-12-13,3.0325
2019-12-16,3.0324
2019-12-17,3.036
2019-12-18,3.04
2019-12-19,3.043
2019-12-20,3.041
2019-12-23,3.04
2019-12-24,3.0335
2019-12-25,3.0325
2019-12-26,3.0295
2019-12-27,3.0255
2019-12-30,3.021
2019-12-31,3.02
2020-01-02,2.994
2020-01-03,2.96
2020-01-06,2.92
2020-01-07,2.899
2020-01-08,2.881
2020-01-09,2.867
2020-01-10,2.864
2020-01-13,2.858
2020-01-14,2.862
2020-01-15,2.865
2020-01-16,2.868
2020-01-17,2.868
2020-01-19,2.863
2020-01-20,2.86
2020-01-21,2.859
2020-01-22,2.858
2020-01-23,2.858
2020-02-03,2.852
2020-02-04,2.824
2020-02-05,2.799
2020-02-06,2.776
2020-02-07,2.753
2020-02-10,2.723
2020-02-11,2.679
2020-02-12,2.639
2020-02-13,2.605
2020-02-14,2.565
2020-02-17,2.545
2020-02-18,2.525
2020-02-19,2.51
2020-02-20,2.5
2020-02-21,2.489
2020-02-24,2.476
2020-02-25,2.459
2020-02-26,2.442
2020-02-27,2.433
2020-02-28,2.429
2020-03-02,2.408
2020-03-03,2.375
2020-03-04,2.332
2020-03-05,2.29
2020-03-06,2.258
2020-03-09,2.238
2020-03-10,2.225
2020-03-11,2.224
2020-03-12,2.223
2020-03-13,2.202
2020-03-16,2.175
2020-03-17,2.145
2020-03-18,2.12
2020-03-19,2.104
2020-03-20,2.087
2020-03-23,2.072
2020-03-24,2.056
2020-03-25,2.01
2020-03-26,1.977
2020-03-27,1.966
2020-03-30,1.948
2020-03-31,1.933
2020-04-01,1.918
2020-04-02,1.889
2020-04-03,1.844
2020-04-07,1.73
2020-04-08,1.647
2020-04-09,1.558
2020-04-10,1.507
2020-04-13,1.485
2020-04-14,1.46
2020-04-15,1.447
2020-04-16,1.428
2020-04-17,1.403
2020-04-20,1.394
2020-04-21,1.396
2020-04-22,1.391
2020-04-23,1.396
2020-04-24,1.396
2020-04-27,1.397
2020-04-28,1.398
2020-04-29,1.399
2020-04-30,1.4
2020-05-06,1.4
2020-05-07,1.4
2020-05-08,1.4
2020-05-09,1.399
2020-05-11,1.398
2020-05-12,1.398
2020-05-13,1.398
2020-05-14,1.399
2020-05-15,1.399
2020-05-18,1.398
2020-05-19,1.399
2020-05-20,1.399
2020-05-21,1.4
2020-05-22,1.4
2020-05-25,1.4
2020-05-26,1.405
2020-05-27,1.415
2020-05-28,1.43
2020-05-29,1.453
2020-06-01,1.456
2020-06-02,1.462
2020-06-03,1.494
2020-06-04,1.536
2020-06-05,1.594
2020-06-08,1.658
2020-06-09,1.727
2020-06-10,1.816
2020-06-11,1.904
2020-06-12,1.956
2020-06-15,1.987
2020-06-16,2.019
2020-06-17,2.056
2020-06-18,2.078
2020-06-19,2.095
2020-06-22,2.097
2020-06-23,2.109
2020-06-24,2.121
2020-06-29,2.127
2020-06-30,2.126
2020-07-01,2.122
2020-07-02,2.113
2020-07-03,2.105
2020-07-06,2.104
2020-07-07,2.103
2020-07-08,2.111
2020-07-09,2.122
2020-07-10,2.143
2020-07-13,2.163
2020-07-14,2.192
2020-07-15,2.241
2020-07-16,2.286
2020-07-17,2.356
2020-07-20,2.404
2020-07-21,2.466
2020-07-22,2.501
2020-07-23,2.541
2020-07-24,2.557
2020-07-27,2.574
2020-07-28,2.578
2020-07-29,2.586
2020-07-30,2.59
2020-07-31,2.593
2020-08-03,2.595
2020-08-04,2.598
2020-08-05,2.6
2020-08-06,2.6
2020-08-07,2.603
2020-08-10,2.601
2020-08-11,2.6
2020-08-12,2.601
2020-08-13,2.601
2020-08-14,2.601
2020-08-17,2.602
2020-08-18,2.6
2020-08-19,2.6
2020-08-20,2.601
2020-08-21,2.601
2020-08-24,2.604
2020-08-25,2.606
2020-08-26,2.612
2020-08-27,2.621
2020-08-28,2.63
2020-08-31,2.636
2020-09-01,2.64
