trade_date,indicator_code,value
2010-01-01,CPI_YOY,1.5
2010-01-01,M1_YOY,38.96
2010-01-01,M2_YOY,25.98
2010-01-01,PMI_MANUFACTURE,55.8
2010-01-01,PPI_YOY,4.32
2010-01-04,000300.SH,3535.229
2010-01-04,000985.CSI,3772.497
2010-01-04,SHIBOR_3M,1.8312
2010-01-04,US10Y,3.85
2010-01-05,000300.SH,3564.038
2010-01-05,000985.CSI,3806.741
2010-01-05,SHIBOR_3M,1.8298
2010-01-05,US10Y,3.77
2010-01-06,000300.SH,3541.727
2010-01-06,000985.CSI,3788.803
2010-01-06,SHIBOR_3M,1.8288
2010-01-06,US10Y,3.85
2010-01-07,000300.SH,3471.456
2010-01-07,000985.CSI,3713.539
2010-01-07,SHIBOR_3M,1.8321
2010-01-07,US10Y,3.85
2010-01-08,000300.SH,3480.13
2010-01-08,000985.CSI,3735.382
2010-01-08,SHIBOR_3M,1.8369
2010-01-08,US10Y,3.83
2010-01-11,000300.SH,3482.052
2010-01-11,000985.CSI,3745.841
2010-01-11,SHIBOR_3M,1.8403
2010-01-11,US10Y,3.85
2010-01-12,000300.SH,3534.916
2010-01-12,000985.CSI,3809.633
2010-01-12,SHIBOR_3M,1.8439
2010-01-12,US10Y,3.74
2010-01-13,000300.SH,3421.144
2010-01-13,000985.CSI,3716.072
2010-01-13,SHIBOR_3M,1.8522
2010-01-13,US10Y,3.8
2010-01-14,000300.SH,3469.051
2010-01-14,000985.CSI,3784.207
2010-01-14,SHIBOR_3M,1.8584
2010-01-14,US10Y,3.76
2010-01-15,000300.SH,3482.738
2010-01-15,000985.CSI,3804.152
2010-01-15,SHIBOR_3M,1.8649
2010-01-15,US10Y,3.7
2010-01-18,000300.SH,3500.684
2010-01-18,000985.CSI,3839.077
2010-01-18,SHIBOR_3M,1.8674
2010-01-19,000300.SH,3507.482
2010-01-19,000985.CSI,3843.874
2010-01-19,SHIBOR_3M,1.8723
2010-01-19,US10Y,3.73
2010-01-20,000300.SH,3394.434
2010-01-20,000985.CSI,3715.206
2010-01-20,SHIBOR_3M,1.875
2010-01-20,US10Y,3.68
2010-01-21,000300.SH,3408.574
2010-01-21,000985.CSI,3730.97
2010-01-21,SHIBOR_3M,1.8819
2010-01-21,US10Y,3.62
2010-01-22,000300.SH,3366.197
2010-01-22,000985.CSI,3665.17
2010-01-22,SHIBOR_3M,1.8866
2010-01-22,US10Y,3.62
2010-01-25,000300.SH,3328.014
2010-01-25,000985.CSI,3617.689
2010-01-25,SHIBOR_3M,1.889
2010-01-25,US10Y,3.66
2010-01-26,000300.SH,3242.797
2010-01-26,000985.CSI,3510.546
2010-01-26,SHIBOR_3M,1.893
2010-01-26,US10Y,3.65
2010-01-27,000300.SH,3198.566
2010-01-27,000985.CSI,3471.122
2010-01-27,SHIBOR_3M,1.8963
2010-01-27,US10Y,3.66
2010-01-28,000300.SH,3206.57
2010-01-28,000985.CSI,3494.778
2010-01-28,SHIBOR_3M,1.9017
2010-01-28,US10Y,3.68
2010-01-29,000300.SH,3204.155
2010-01-29,000985.CSI,3504.567
2010-01-29,SHIBOR_3M,1.9048
2010-01-29,US10Y,3.63
2010-02-01,000300.SH,3152.707
2010-02-01,000985.CSI,3454.906
2010-02-01,CPI_YOY,2.7
2010-02-01,M1_YOY,34.99
2010-02-01,M2_YOY,25.52
2010-02-01,PMI_MANUFACTURE,52.0
2010-02-01,PPI_YOY,5.39
2010-02-01,SHIBOR_3M,1.9074
2010-02-01,US10Y,3.68
2010-02-02,000300.SH,3146.189
2010-02-02,000985.CSI,3443.356
2010-02-02,SHIBOR_3M,1.9074
2010-02-02,US10Y,3.67
2010-02-03,000300.SH,3230.715
2010-02-03,000985.CSI,3521.391
2010-02-03,SHIBOR_3M,1.9081
2010-02-03,US10Y,3.73
2010-02-04,000300.SH,3218.802
2010-02-04,000985.CSI,3526.18
2010-02-04,SHIBOR_3M,1.9061
2010-02-04,US10Y,3.62
2010-02-05,000300.SH,3153.087
2010-02-05,000985.CSI,3453.973
2010-02-05,SHIBOR_3M,1.9051
2010-02-05,US10Y,3.59
2010-02-08,000300.SH,3150.988
2010-02-08,000985.CSI,3452.078
2010-02-08,SHIBOR_3M,1.9055
2010-02-08,US10Y,3.62
2010-02-09,000300.SH,3169.19
2010-02-09,000985.CSI,3465.49
2010-02-09,SHIBOR_3M,1.9128
2010-02-09,US10Y,3.67
2010-02-10,000300.SH,3214.13
2010-02-10,000985.CSI,3512.458
2010-02-10,SHIBOR_3M,1.9203
2010-02-10,US10Y,3.72
2010-02-11,000300.SH,3220.398
2010-02-11,000985.CSI,3513.177
2010-02-11,SHIBOR_3M,1.9305
2010-02-11,US10Y,3.73
2010-02-12,000300.SH,3251.278
2010-02-12,000985.CSI,3551.14
2010-02-12,SHIBOR_3M,1.928
2010-02-12,US10Y,3.69
2010-02-16,US10Y,3.66
2010-02-17,US10Y,3.74
2010-02-18,US10Y,3.79
2010-02-19,US10Y,3.78
2010-02-20,SHIBOR_3M,1.9327
2010-02-21,SHIBOR_3M,1.9375
2010-02-22,000300.SH,3233.345
2010-02-22,000985.CSI,3541.111
2010-02-22,SHIBOR_3M,1.9365
2010-02-22,US10Y,3.8
2010-02-23,000300.SH,3198.634
2010-02-23,000985.CSI,3529.613
2010-02-23,SHIBOR_3M,1.9351
2010-02-23,US10Y,3.69
2010-02-24,000300.SH,3244.483
2010-02-24,000985.CSI,3589.373
2010-02-24,SHIBOR_3M,1.9394
2010-02-24,US10Y,3.7
2010-02-25,000300.SH,3292.128
2010-02-25,000985.CSI,3644.415
2010-02-25,SHIBOR_3M,1.9421
2010-02-25,US10Y,3.64
2010-02-26,000300.SH,3281.666
2010-02-26,000985.CSI,3638.796
2010-02-26,SHIBOR_3M,1.9443
2010-02-26,US10Y,3.61
2010-03-01,000300.SH,3324.423
2010-03-01,000985.CSI,3685.066
2010-03-01,CPI_YOY,2.4
2010-03-01,M1_YOY,29.94
2010-03-01,M2_YOY,22.5
2010-03-01,PMI_MANUFACTURE,55.1
2010-03-01,PPI_YOY,5.91
2010-03-01,SHIBOR_3M,1.9436
2010-03-01,US10Y,3.61
2010-03-02,000300.SH,3311.236
2010-03-02,000985.CSI,3676.661
2010-03-02,SHIBOR_3M,1.9467
2010-03-02,US10Y,3.62
2010-03-03,000300.SH,3335.081
2010-03-03,000985.CSI,3711.335
2010-03-03,SHIBOR_3M,1.9455
2010-03-03,US10Y,3.63
2010-03-04,000300.SH,3250.573
2010-03-04,000985.CSI,3603.657
2010-03-04,SHIBOR_3M,1.9465
2010-03-04,US10Y,3.61
2010-03-05,000300.SH,3259.764
2010-03-05,000985.CSI,3614.571
2010-03-05,SHIBOR_3M,1.9461
2010-03-05,US10Y,3.69
2010-03-08,000300.SH,3286.178
2010-03-08,000985.CSI,3647.573
2010-03-08,SHIBOR_3M,1.9433
2010-03-08,US10Y,3.72
2010-03-09,000300.SH,3305.863
2010-03-09,000985.CSI,3662.139
2010-03-09,SHIBOR_3M,1.9453
2010-03-09,US10Y,3.71
2010-03-10,000300.SH,3279.694
2010-03-10,000985.CSI,3627.759
2010-03-10,SHIBOR_3M,1.9436
2010-03-10,US10Y,3.73
2010-03-11,000300.SH,3276.705
2010-03-11,000985.CSI,3617.067
2010-03-11,SHIBOR_3M,1.9419
2010-03-11,US10Y,3.73
2010-03-12,000300.SH,3233.126
2010-03-12,000985.CSI,3566.385
2010-03-12,SHIBOR_3M,1.9416
2010-03-12,US10Y,3.71
2010-03-15,000300.SH,3183.183
2010-03-15,000985.CSI,3520.148
2010-03-15,SHIBOR_3M,1.9407
2010-03-15,US10Y,3.71
2010-03-16,000300.SH,3203.971
2010-03-16,000985.CSI,3547.042
2010-03-16,SHIBOR_3M,1.9405
