ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
CU2404.SHF,CU2404,SHFE,沪铜2404,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20230418,20240415,202404,20240417
CU0510.SHF,CU0510,SHFE,沪铜0510,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20041018,20051017,200510,20051024
CU9608.SHF,CU9608,SHFE,沪铜9608,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,19951215,19960815,199608,19960822
CU1807.SHF,CU1807,SHFE,沪铜1807,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20170718,20180716,201807,20180723
CU0506.SHF,CU0506,SHFE,沪铜0506,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20040616,20050615,200506,20050622
CU0504.SHF,CU0504,SHFE,沪铜0504,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20040416,20050415,200504,20050422
CU9905.SHF,CU9905,SHFE,沪铜9905,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,19980813,19990514,199905,19990521
CU0502.SHF,CU0502,SHFE,沪铜0502,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20040217,20050204,200502,20050222
CU0311.SHF,CU0311,SHFE,沪铜0311,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20030117,20031117,200311,20031124
CU2112.SHF,CU2112,SHFE,沪铜2112,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20201216,20211215,202112,20211220
CU2206.SHF,CU2206,SHFE,沪铜2206,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20210616,20220615,202206,20220620
CU0301.SHF,CU0301,SHFE,沪铜0301,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20020422,20030115,200301,20030122
CU1412.SHF,CU1412,SHFE,沪铜1412,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20131217,20141215,201412,20141222
CU2504.SHF,CU2504,SHFE,沪铜2504,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20240416,20250415,202504,20250417
CU1209.SHF,CU1209,SHFE,沪铜1209,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20110916,20120917,201209,20120924
CU1006.SHF,CU1006,SHFE,沪铜1006,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20090616,20100617,201006,20100624
CU0906.SHF,CU0906,SHFE,沪铜0906,CU,,吨,5,人民币元/吨,10人民币元/吨,实物交割,20080617,20090615,200906,20090622
