ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU2404.SHF,20240415,76490.0,76010.0,76900.0,77410.0,75830.0,76590.0,76290.0,580.0,280.0,4605,175671.75,11920,-1585.0
CU2404.SHF,20240412,75850.0,75890.0,75700.0,76600.0,75410.0,76490.0,76010.0,600.0,120.0,9190,349287.7,13505,-3535.0
CU2404.SHF,20240411,76330.0,76090.0,76330.0,76330.0,75360.0,75850.0,75890.0,-240.0,-200.0,16095,610786.1,17040,-6905.0
CU2404.SHF,20240410,75790.0,75910.0,76300.0,76600.0,75730.0,76330.0,76090.0,420.0,180.0,14510,552094.13,23945,-4480.0
CU2404.SHF,20240409,75370.0,75230.0,75880.0,76490.0,75560.0,75790.0,75910.0,560.0,680.0,18045,684910.25,28425,-6070.0
CU2404.SHF,20240408,73820.0,73520.0,75130.0,75990.0,74260.0,75370.0,75230.0,1850.0,1710.0,19765,743516.38,34495,-6935.0
CU2404.SHF,20240403,73130.0,72920.0,73380.0,73850.0,73090.0,73820.0,73520.0,900.0,600.0,20155,740919.8,41430,-6495.0
CU2404.SHF,20240402,72980.0,72720.0,72880.0,73230.0,72720.0,73130.0,72920.0,410.0,200.0,20025,730136.05,47925,-6460.0
CU2404.SHF,20240401,72430.0,72200.0,72380.0,73070.0,72380.0,72980.0,72720.0,780.0,520.0,17506,636578.03,54385,-4681.0
CU2404.SHF,20240329,72380.0,72090.0,72160.0,72480.0,71940.0,72430.0,72200.0,340.0,110.0,21598,779716.31,59066,-8250.0
CU2404.SHF,20240328,72000.0,71920.0,71790.0,72500.0,71530.0,72380.0,72090.0,460.0,170.0,24066,867508.97,67316,-5919.0
CU2404.SHF,20240327,71900.0,71990.0,72190.0,72190.0,71750.0,72000.0,71920.0,10.0,-70.0,21639,778180.08,73235,-7487.0
CU2404.SHF,20240326,72160.0,72310.0,72180.0,72420.0,71620.0,71900.0,71990.0,-410.0,-320.0,27892,1003986.0,80722,-8827.0
CU2404.SHF,20240325,72200.0,72350.0,72070.0,72550.0,72060.0,72160.0,72310.0,-190.0,-40.0,35495,1283437.97,89549,-5112.0
CU2404.SHF,20240322,73110.0,72850.0,72780.0,72920.0,72050.0,72200.0,72350.0,-650.0,-500.0,42034,1520671.68,94661,-8252.0
CU2404.SHF,20240321,72510.0,72540.0,72150.0,73400.0,72070.0,73110.0,72850.0,570.0,310.0,33259,1211501.14,102913,-4408.0
CU2404.SHF,20240320,72770.0,73070.0,72310.0,72750.0,72220.0,72510.0,72540.0,-560.0,-530.0,29327,1063718.77,107321,-7028.0
CU2404.SHF,20240319,72720.0,72960.0,73090.0,73740.0,72380.0,72770.0,73070.0,-190.0,110.0,44280,1617961.47,114349,-9860.0
CU2404.SHF,20240318,72990.0,72360.0,72960.0,73300.0,72590.0,72720.0,72960.0,360.0,600.0,49505,1805991.68,124209,-9964.0
