trade_date,open,high,low,close,vol,oi,contract_ts_code,roll_flag
2019-01-02,3398,3439,3371,3382,2149936,2421642,RB1905.SHF,0
2019-01-03,3378,3456,3366,3455,3719028,2474032,RB1905.SHF,0
2019-01-04,3460,3493,3430,3486,3323322,2490386,RB1905.SHF,0
2019-01-07,3490,3526,3466,3520,3053042,2546746,RB1905.SHF,0
2019-01-08,3521,3523,3483,3505,2740906,2458886,RB1905.SHF,0
2019-01-09,3505,3550,3494,3507,3378598,2439334,RB1905.SHF,0
2019-01-10,3512,3543,3502,3514,3134668,2563920,RB1905.SHF,0
2019-01-11,3517,3540,3492,3539,3440962,2560850,RB1905.SHF,0
2019-01-14,3535,3576,3520,3575,2624250,2629794,RB1905.SHF,0
2019-01-15,3576,3576,3508,3519,3128980,2597358,RB1905.SHF,0
2019-01-16,3519,3545,3510,3534,2632026,2608754,RB1905.SHF,0
2019-01-17,3529,3565,3525,3551,2258818,2669110,RB1905.SHF,0
2019-01-18,3552,3636,3540,3633,3599670,2797818,RB1905.SHF,0
2019-01-21,3636,3675,3619,3645,3526340,2771860,RB1905.SHF,0
2019-01-22,3650,3700,3630,3633,3970252,2743884,RB1905.SHF,0
2019-01-23,3639,3658,3625,3644,2631994,2732234,RB1905.SHF,0
2019-01-24,3647,3684,3639,3680,3200450,2846854,RB1905.SHF,0
2019-01-25,3684,3740,3675,3710,3099552,2850624,RB1905.SHF,0
2019-01-28,3712,3757,3680,3681,3337710,2717346,RB1905.SHF,0
2019-01-29,3680,3694,3653,3675,2508228,2641868,RB1905.SHF,0
2019-01-30,3683,3767,3667,3677,4490378,2561852,RB1905.SHF,0
2019-01-31,3682,3718,3673,3707,2724362,2453762,RB1905.SHF,0
2019-02-01,3696,3770,3696,3754,2506846,2334376,RB1905.SHF,0
2019-02-11,3850,3908,3816,3825,3480360,2566884,RB1905.SHF,0
2019-02-12,3818,3830,3771,3785,3109428,2534930,RB1905.SHF,0
2019-02-13,3780,3796,3692,3702,3814494,2536438,RB1905.SHF,0
2019-02-14,3711,3717,3668,3684,3266348,2693958,RB1905.SHF,0
2019-02-15,3680,3696,3593,3599,3916316,2771988,RB1905.SHF,0
2019-02-18,3615,3675,3611,3659,3532344,2643626,RB1905.SHF,0
2019-02-19,3670,3698,3647,3655,2760590,2648856,RB1905.SHF,0
2019-02-20,3650,3669,3578,3641,3918544,2719930,RB1905.SHF,0
2019-02-21,3640,3695,3635,3677,3928972,2638752,RB1905.SHF,0
2019-02-22,3669,3735,3663,3731,3278144,2652012,RB1905.SHF,0
2019-02-25,3736,3766,3681,3682,3659076,2684798,RB1905.SHF,0
2019-02-26,3677,3745,3672,3736,3998202,2607678,RB1905.SHF,0
2019-02-27,3737,3750,3697,3715,2948082,2619830,RB1905.SHF,0
2019-02-28,3728,3755,3705,3750,3461158,2631922,RB1905.SHF,0
2019-03-01,3756,3816,3751,3815,2986416,2652630,RB1905.SHF,0
2019-03-04,3815,3849,3787,3811,3828874,2651222,RB1905.SHF,0
2019-03-05,3822,3825,3755,3793,3598118,2357864,RB1905.SHF,0
2019-03-06,3790,3810,3736,3737,3759206,2421042,RB1905.SHF,0
2019-03-07,3748,3837,3734,3821,3902978,2375706,RB1905.SHF,0
2019-03-08,3821,3824,3756,3772,3712328,2257074,RB1905.SHF,0
2019-03-11,3710,3754,3680,3723,3387246,2255476,RB1905.SHF,0
2019-03-12,3729,3820,3728,3815,3437206,2250166,RB1905.SHF,0
2019-03-13,3825,3842,3784,3790,2998788,2280814,RB1905.SHF,0
2019-03-14,3772,3829,3762,3795,3586828,2300172,RB1905.SHF,0
2019-03-15,3796,3805,3737,3763,3715090,2237542,RB1905.SHF,0
2019-03-18,3758,3804,3754,3781,3280758,2105164,RB1905.SHF,0
2019-03-19,3785,3821,3772,3788,2832806,2139986,RB1905.SHF,0
2019-03-20,3800,3814,3753,3777,3165340,2064104,RB1905.SHF,0
2019-03-21,3780,3826,3770,3772,3234998,2046454,RB1905.SHF,0
2019-03-22,3765,3779,3742,3768,2882038,2040814,RB1905.SHF,0
2019-03-25,3763,3772,3692,3692,3005274,2296222,RB1905.SHF,0
2019-03-26,3699,3718,3682,3705,2088568,2113960,RB1905.SHF,0
2019-03-27,3707,3720,3696,3711,1875650,1949058,RB1905.SHF,0
2019-03-28,3709,3734,3676,3690,2985056,1790910,RB1905.SHF,0
2019-03-29,3690,3774,3673,3758,2608262,1489398,RB1905.SHF,0
2019-04-01,3470,3498,3451,3497,1375404,1807786,RB1910.SHF,1
2019-04-02,3492,3575,3480,3560,2201022,1747516,RB1910.SHF,0
2019-04-03,3560,3596,3546,3587,2869880,1843996,RB1910.SHF,0
2019-04-04,3590,3606,3561,3594,2370430,1972934,RB1910.SHF,0
2019-04-08,3614,3755,3613,3730,3569164,2019198,RB1910.SHF,0
2019-04-09,3735,3795,3728,3757,3938120,2143174,RB1910.SHF,0
2019-04-10,3760,3776,3735,3774,3013560,2182736,RB1910.SHF,0
2019-04-11,3776,3814,3744,3808,3456604,2276632,RB1910.SHF,0
2019-04-12,3810,3829,3734,3794,5184656,2240428,RB1910.SHF,0
2019-04-15,3820,3843,3795,3829,3998834,2399062,RB1910.SHF,0
2019-04-16,3832,3832,3773,3780,3633830,2296314,RB1910.SHF,0
2019-04-17,3779,3804,3757,3795,3439502,2322182,RB1910.SHF,0
2019-04-18,3789,3789,3706,3710,4231128,2338530,RB1910.SHF,0
2019-04-19,3699,3746,3682,3738,3494514,2388974,RB1910.SHF,0
2019-04-22,3744,3819,3739,3773,5132926,2365588,RB1910.SHF,0
2019-04-23,3776,3794,3755,3757,2870758,2509806,RB1910.SHF,0
2019-04-24,3750,3751,3718,3730,3503086,2530532,RB1910.SHF,0
2019-04-25,3727,3780,3712,3712,3779994,2500770,RB1910.SHF,0
2019-04-26,3712,3755,3712,3739,3571488,2523808,RB1910.SHF,0
2019-04-29,3743,3779,3735,3777,3044622,2503928,RB1910.SHF,0
2019-04-30,3783,3833,3783,3828,3395294,2345822,RB1910.SHF,0
2019-05-06,3760,3783,3725,3756,3040168,2305756,RB1910.SHF,0
2019-05-07,3756,3814,3753,3767,3462070,2302372,RB1910.SHF,0
2019-05-08,3757,3764,3721,3731,3487160,2424686,RB1910.SHF,0
2019-05-09,3721,3744,3705,3737,3494278,2356324,RB1910.SHF,0
2019-05-10,3711,3753,3711,3746,3159902,2317490,RB1910.SHF,0
2019-05-13,3747,3760,3690,3691,3440910,2443248,RB1910.SHF,0
2019-05-14,3680,3699,3655,3663,3403408,2532810,RB1910.SHF,0
2019-05-15,3659,3709,3650,3704,2608568,2547198,RB1910.SHF,0
2019-05-16,3701,3749,3694,3742,3511080,2467990,RB1910.SHF,0
2019-05-17,3750,3794,3746,3771,3847274,2364382,RB1910.SHF,0
2019-05-20,3770,3792,3760,3780,2752426,2357766,RB1910.SHF,0
2019-05-21,3780,3920,3777,3919,5032032,2632486,RB1910.SHF,0
2019-05-22,3913,3947,3867,3910,4462532,2481762,RB1910.SHF,0
2019-05-23,3910,3928,3879,3881,3174604,2381190,RB1910.SHF,0
2019-05-24,3879,3894,3826,3889,3750018,2340352,RB1910.SHF,0
2019-05-27,3893,3926,3835,3842,4421734,2355626,RB1910.SHF,0
2019-05-28,3835,3870,3815,3845,3220108,2328866,RB1910.SHF,0
2019-05-29,3835,3839,3796,3825,3088050,2375608,RB1910.SHF,0
2019-05-30,3820,3835,3773,3777,3228754,2462100,RB1910.SHF,0
2019-05-31,3775,3789,3744,3750,2731698,2540810,RB1910.SHF,0
2019-06-03,3740,3763,3699,3707,3063850,2570700,RB1910.SHF,0
2019-06-04,3716,3747,3691,3745,2491734,2592758,RB1910.SHF,0
2019-06-05,3752,3758,3726,3747,2188406,2603960,RB1910.SHF,0
2019-06-06,3741,3746,3670,3737,3975684,2591634,RB1910.SHF,0
2019-06-10,3716,3733,3680,3717,2194802,2705278,RB1910.SHF,0
2019-06-11,3718,3834,3712,3833,5000976,2624268,RB1910.SHF,0
2019-06-12,3836,3844,3772,3776,3388264,2517168,RB1910.SHF,0
2019-06-13,3768,3800,3744,3792,3502002,2504250,RB1910.SHF,0
2019-06-14,3800,3813,3753,3755,3102382,2532062,RB1910.SHF,0
2019-06-17,3750,3754,3700,3704,2968142,2680234,RB1910.SHF,0
2019-06-18,3700,3737,3683,3732,2623144,2721602,RB1910.SHF,0
2019-06-19,3740,3797,3723,3770,3824738,2595294,RB1910.SHF,0
2019-06-20,3750,3836,3740,3825,3770756,2666178,RB1910.SHF,0
2019-06-21,3825,3860,3795,3859,3584776,2704032,RB1910.SHF,0
2019-06-24,3857,3966,3835,3904,4860118,2544514,RB1910.SHF,0
2019-06-25,3920,3999,3915,3994,4513402,2685184,RB1910.SHF,0
2019-06-26,3995,4013,3966,3998,3289568,2530034,RB1910.SHF,0
2019-06-27,4008,4095,3987,4001,4993954,2470936,RB1910.SHF,0
2019-06-28,4004,4071,4002,4065,3424928,2562644,RB1910.SHF,0
2019-07-01,4070,4148,4061,4107,4059936,2527118,RB1910.SHF,0
2019-07-02,4102,4117,4023,4053,3581188,2455326,RB1910.SHF,0
2019-07-03,4045,4098,4001,4030,3491260,2481090,RB1910.SHF,0
2019-07-04,4027,4077,3996,4024,4181700,2476838,RB1910.SHF,0
2019-07-05,4020,4057,3967,3984,3849040,2506022,RB1910.SHF,0
2019-07-08,3980,4025,3976,3992,3352870,2400964,RB1910.SHF,0
2019-07-09,3990,4085,3989,4042,3664226,2424496,RB1910.SHF,0
2019-07-10,4040,4052,4004,4021,2566004,2415562,RB1910.SHF,0
2019-07-11,4020,4046,3974,4017,3807582,2477402,RB1910.SHF,0
2019-07-12,4020,4030,3958,3965,2871884,2559286,RB1910.SHF,0
2019-07-15,3957,4031,3921,4030,3686056,2520808,RB1910.SHF,0
2019-07-16,4029,4064,4019,4037,2872668,2480884,RB1910.SHF,0
2019-07-17,4026,4068,4009,4052,2876118,2495554,RB1910.SHF,0
2019-07-18,4038,4050,3966,3968,2683150,2455950,RB1910.SHF,0
2019-07-19,3958,4006,3942,4001,2808834,2374568,RB1910.SHF,0
2019-07-22,3999,4007,3930,3948,3875196,2459286,RB1910.SHF,0
2019-07-23,3943,3980,3924,3941,2641954,2466078,RB1910.SHF,0
2019-07-24,3930,3930,3878,3899,3165788,2547920,RB1910.SHF,0
2019-07-25,3890,3948,3885,3940,3037812,2537830,RB1910.SHF,0
2019-07-26,3950,3974,3926,3940,2743862,2404082,RB1910.SHF,0
2019-07-29,3930,3945,3875,3877,2575014,2608632,RB1910.SHF,0
2019-07-30,3880,3925,3866,3886,2803966,2596252,RB1910.SHF,0
2019-07-31,3871,3932,3867,3891,2938908,2560900,RB1910.SHF,0
2019-08-01,3888,3904,3846,3846,2829316,2745358,RB1910.SHF,0
2019-08-02,3839,3845,3724,3816,4111132,2582178,RB1910.SHF,0
2019-08-05,3817,3834,3736,3753,3424546,2618142,RB1910.SHF,0
2019-08-06,3753,3773,3707,3707,2847802,2693516,RB1910.SHF,0
2019-08-07,3700,3737,3686,3711,3417292,2539706,RB1910.SHF,0
2019-08-08,3707,3751,3662,3672,3368994,2611468,RB1910.SHF,0
2019-08-09,3688,3690,3538,3591,4505230,2518638,RB1910.SHF,0
2019-08-12,3584,3683,3546,3677,4188360,2308330,RB1910.SHF,0
2019-08-13,3678,3705,3643,3677,3050458,2229472,RB1910.SHF,0
2019-08-14,3683,3740,3658,3670,3466926,2200240,RB1910.SHF,0
2019-08-15,3676,3733,3668,3715,3579628,2070970,RB1910.SHF,0
2019-08-16,3711,3733,3692,3715,2097852,2055080,RB1910.SHF,0
2019-08-19,3707,3753,3698,3747,2417568,1936586,RB1910.SHF,0
2019-08-20,3755,3766,3695,3699,2024620,1906932,RB1910.SHF,0
2019-08-21,3701,3712,3633,3686,2646704,1702558,RB1910.SHF,0
2019-08-22,3420,3438,3360,3418,2055498,2165168,RB2001.SHF,1
2019-08-23,3432,3462,3410,3446,1944648,2270896,RB2001.SHF,0
2019-08-26,3430,3467,3367,3372,2803968,2456260,RB2001.SHF,0
2019-08-27,3362,3377,3281,3281,3268474,2831650,RB2001.SHF,0
2019-08-28,3281,3323,3244,3317,3344346,2850708,RB2001.SHF,0
