trade_date,open,high,low,close,vol,oi,contract_ts_code,roll_flag
2019-01-02,380.8,383.0,369.4,370.9,155324,47524,SC1903.INE,0
2019-01-03,370.9,397.3,370.2,385.4,612956,44910,SC1903.INE,0
2019-01-04,391.4,401.8,386.2,398.0,661536,46186,SC1903.INE,0
2019-01-07,401.9,411.5,398.9,407.5,703896,46310,SC1903.INE,0
2019-01-08,409.1,415.5,402.7,405.5,600078,46406,SC1903.INE,0
2019-01-09,409.0,419.8,407.3,416.3,557344,45180,SC1903.INE,0
2019-01-10,419.5,428.9,416.5,421.5,636884,43364,SC1903.INE,0
2019-01-11,424.0,427.5,419.7,426.9,508960,48972,SC1903.INE,0
2019-01-14,426.5,426.5,412.5,414.8,606728,49450,SC1903.INE,0
2019-01-15,416.1,420.2,413.1,416.3,506802,52220,SC1903.INE,0
2019-01-16,417.1,423.5,414.5,422.9,468574,51958,SC1903.INE,0
2019-01-17,420.0,425.8,418.0,425.2,548660,48976,SC1903.INE,0
2019-01-18,419.2,433.3,418.2,432.0,516038,48930,SC1903.INE,0
2019-01-21,431.0,441.5,429.4,438.8,545476,50558,SC1903.INE,0
2019-01-22,438.2,442.2,432.2,434.5,357922,49238,SC1903.INE,0
2019-01-23,430.9,433.2,423.9,432.4,456382,48142,SC1903.INE,0
2019-01-24,434.6,435.7,421.5,425.7,531904,48488,SC1903.INE,0
2019-01-25,424.0,433.0,423.2,430.8,497512,48172,SC1903.INE,0
2019-01-28,426.5,430.7,421.9,422.0,401152,50116,SC1903.INE,0
2019-01-29,421.6,423.4,413.0,418.5,373126,48580,SC1903.INE,0
2019-01-30,420.5,429.2,419.5,425.1,368132,44332,SC1903.INE,0
2019-01-31,429.4,434.0,427.2,431.6,318880,42048,SC1903.INE,0
2019-02-01,430.0,437.6,422.7,423.2,312950,34014,SC1903.INE,0
2019-02-11,424.9,430.8,423.0,429.6,72378,32460,SC1903.INE,0
2019-02-12,431.0,434.5,424.2,427.4,237138,31828,SC1903.INE,0
