category,code,name,frequency,role
commodity,CU,铜,daily,target
commodity,AU,黄金,daily,target
commodity,SC,原油,daily,target
commodity,RB,螺纹钢,daily,target
commodity,C,玉米,daily,target
macro,USDCNY,美元兑人民币,daily,feature
macro,CN10Y,中国10年国债收益率,daily,feature
macro,US10Y,美国10年国债收益率,daily,feature
macro,SHIBOR_3M,3个月Shibor,daily,feature
macro,DR007,银行间7天回购利率,daily,feature
macro,CPI_YOY,CPI同比,monthly,feature
macro,PPI_YOY,PPI同比,monthly,feature
macro,PMI_MANUFACTURE,制造业PMI,monthly,feature
macro,M1_YOY,M1同比,monthly,feature
macro,M2_YOY,M2同比,monthly,feature
macro,SOCIAL_FINANCING_YOY,社融同比,monthly,feature
macro,000300.SH,沪深300,daily,feature
macro,000985.CSI,中证全指,daily,feature
